"codigo","chave","nome","categoria","familia","classes","nivel_item","atributos","requisitos","descricao","loja_oficial","marketplace","motivo_comercial"
"0","0-0","Kris","Espadas","Arma","Dark Wizard (classe inicial); Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial); Summoner (classe inicial); Rage Fighter (classe inicial)","6","dano 6-11, velocidade de ataque 50, durabilidade 20","força 40, agilidade 40","Kris é um item da família arma, catalogado em Espadas. A configuração atual registra dano 6-11, velocidade de ataque 50, durabilidade 20. Requisitos: força 40, agilidade 40. Uso permitido: Dark Wizard (classe inicial), Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial), Summoner (classe inicial), Rage Fighter (classe inicial). Ocupa 1x2 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"1","0-1","Short Sword","Espadas","Arma","Dark Wizard (classe inicial); Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial); Summoner (classe inicial); Rage Fighter (classe inicial)","3","dano 3-7, velocidade de ataque 20, durabilidade 22","força 60","Short Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 3-7, velocidade de ataque 20, durabilidade 22. Requisitos: força 60. Uso permitido: Dark Wizard (classe inicial), Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial), Summoner (classe inicial), Rage Fighter (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"2","0-2","Rapier","Espadas","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial); Summoner (classe inicial)","9","dano 9-15, velocidade de ataque 40, durabilidade 23","força 50, agilidade 40","Rapier é um item da família arma, catalogado em Espadas. A configuração atual registra dano 9-15, velocidade de ataque 40, durabilidade 23. Requisitos: força 50, agilidade 40. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial), Summoner (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"3","0-3","Katana","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","16","dano 16-26, velocidade de ataque 35, durabilidade 27","força 80, agilidade 40","Katana é um item da família arma, catalogado em Espadas. A configuração atual registra dano 16-26, velocidade de ataque 35, durabilidade 27. Requisitos: força 80, agilidade 40. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"4","0-4","Sword of Assassin","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","12","dano 12-18, velocidade de ataque 30, durabilidade 24","força 60, agilidade 40","Sword of Assassin é um item da família arma, catalogado em Espadas. A configuração atual registra dano 12-18, velocidade de ataque 30, durabilidade 24. Requisitos: força 60, agilidade 40. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"5","0-5","Blade","Espadas","Arma","Dark Wizard (classe inicial); Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","36","dano 36-47, velocidade de ataque 30, durabilidade 39","força 80, agilidade 50","Blade é um item da família arma, catalogado em Espadas. A configuração atual registra dano 36-47, velocidade de ataque 30, durabilidade 39. Requisitos: força 80, agilidade 50. Uso permitido: Dark Wizard (classe inicial), Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"6","0-6","Gladius","Espadas","Arma","Dark Knight (classe inicial); Fairy Elf (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","20","dano 20-30, velocidade de ataque 20, durabilidade 30","força 110","Gladius é um item da família arma, catalogado em Espadas. A configuração atual registra dano 20-30, velocidade de ataque 20, durabilidade 30. Requisitos: força 110. Uso permitido: Dark Knight (classe inicial), Fairy Elf (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"7","0-7","Falchion","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","24","dano 24-34, velocidade de ataque 25, durabilidade 34","força 120","Falchion é um item da família arma, catalogado em Espadas. A configuração atual registra dano 24-34, velocidade de ataque 25, durabilidade 34. Requisitos: força 120. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"8","0-8","Serpent Sword","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial); Dark Lord (classe inicial)","30","dano 30-40, velocidade de ataque 20, durabilidade 36","força 130","Serpent Sword é um item da família arma, catalogado em Espadas. A configuração atual registra dano 30-40, velocidade de ataque 20, durabilidade 36. Requisitos: força 130. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial), Dark Lord (classe inicial). Ocupa 1x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
"9","0-9","Sword of Salamander","Espadas","Arma","Dark Knight (classe inicial); Magic Gladiator (classe inicial)","32","dano 32-46, velocidade de ataque 30, durabilidade 40","força 103","Sword of Salamander é um item da família arma, catalogado em Espadas. A configuração atual registra dano 32-46, velocidade de ataque 30, durabilidade 40. Requisitos: força 103. Uso permitido: Dark Knight (classe inicial), Magic Gladiator (classe inicial). Ocupa 2x3 espaço(s) no inventário e pode participar das tabelas de drop.","Somente cosmético ou progressão controlada","Recomendado","Equipamento deve circular prioritariamente entre jogadores; venda direta exige limites de nível e opções."
