ID,GROUP,CATEGORY,ITEM,TECHNICAL_ID,CURRENT_PRICE,DURATION,KEY_OPTIONS,POWER_IMPACT,PRELIMINARY_CLASSIFICATION,REASON,DATA_CONFIDENCE,BRYAN_DECISION
1,GROUP 1 -- Weapons,Swords,Kris,"type=0,index=0",WCoinC=10000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
2,GROUP 1 -- Weapons,Swords,Short Sword,"type=0,index=1",WCoinC=20000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
3,GROUP 1 -- Weapons,Swords,Rapier,"type=0,index=2",WCoinC=30000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
4,GROUP 1 -- Weapons,Swords,Katana,"type=0,index=3",WCoinC=500 / WCoinP=200 / GoblinPoint=60,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
5,GROUP 1 -- Weapons,Swords,Sword of Assassin,"type=0,index=4",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
6,GROUP 1 -- Weapons,Swords,Blade,"type=0,index=5",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
7,GROUP 1 -- Weapons,Swords,Gladius,"type=0,index=6",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
8,GROUP 1 -- Weapons,Swords,Falchion,"type=0,index=7",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
9,GROUP 1 -- Weapons,Swords,Serpent Sword,"type=0,index=8",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
10,GROUP 1 -- Weapons,Swords,Sword of Salamander,"type=0,index=9",WCoinC=25000 / WCoinP=0 / GoblinPoint=0,60 days (rental),+13 upgrade; 6/6 excellent options (inferred); Ancient/Set=0; Harmony=0; Socket=0,HIGH_INFERRED,RED_INCOMPATIBLE_WITH_CURRENT_POLICY,"Ships at +13 upgrade with all 6 excellent options simultaneously active (ItemNewOption=63) -- a combination essentially unobtainable through normal play at any request-level bracket. This stat package is itself ""exclusive best-in-slot gear""/""a progression destination unavailable to F2P players"" under current policy, independent of which specific base weapon it wraps.",CONFIRMED_RAW_DATA_INFERRED_INTERPRETATION,PENDING
