idx,KEEP,ITEM,IMAGE,ID,CATEGORY,LEVEL_UPGRADE,REQ_LEVEL,EXCELLENT_BITMASK_INFERRED,EXCELLENT_COUNT_INFERRED,ANCIENT_SET_OPTION,HARMONY,SOCKET_COUNT,DURATION_DAYS,COIN0,COIN1,COIN2,QTY,CLASS,DAMAGE,CURRENT_RISK,RECOMMEND,NOTES
1,UNREVIEWED,Kris,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=0",Swords,13,0,63,6,0,0,0,60,10000,0,0,1,DW/DK/FE/MG/DL/SU/RF,6-11,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
2,UNREVIEWED,Short Sword,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=1",Swords,13,0,63,6,0,0,0,60,20000,0,0,1,DW/DK/FE/MG/DL/SU/RF,3-7,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
3,UNREVIEWED,Rapier,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=2",Swords,13,0,63,6,0,0,0,60,30000,0,0,1,DK/FE/MG/DL/SU,9-15,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
4,UNREVIEWED,Katana,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=3",Swords,13,0,63,6,0,0,0,60,500,200,60,1,DK/MG/DL,16-26,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
5,UNREVIEWED,Sword of Assassin,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=4",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DK/MG/DL,12-18,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
6,UNREVIEWED,Blade,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=5",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DW/DK/FE/MG/DL,36-47,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
7,UNREVIEWED,Gladius,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=6",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DK/FE/MG/DL,20-30,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
8,UNREVIEWED,Falchion,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=7",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DK/MG/DL,24-34,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
9,UNREVIEWED,Serpent Sword,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=8",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DK/MG/DL,30-40,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
10,UNREVIEWED,Sword of Salamander,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=9",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DK/MG,32-46,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
11,UNREVIEWED,Light Saber,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=10",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DK/FE/MG,47-61,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
12,UNREVIEWED,Legendary Sword,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=0,index=11",Swords,13,0,63,6,0,0,0,60,25000,0,0,1,DK/MG,56-72,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
13,UNREVIEWED,Small Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=0",Axes,13,0,63,6,0,0,0,PERMANENT,10000,50,0,1,DW/DK/FE/MG/DL/SU/RF,1-6,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
14,UNREVIEWED,Hand Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=1",Axes,13,0,63,6,0,0,0,PERMANENT,20000,50,0,1,DW/DK/FE/MG/DL/SU/RF,4-9,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
15,UNREVIEWED,Double Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=2",Axes,13,0,63,6,0,0,0,PERMANENT,30000,50,0,1,DK/MG/DL,14-24,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
16,UNREVIEWED,Tomahawk,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=3",Axes,13,0,63,6,0,0,0,PERMANENT,15000,50,0,1,DK/MG/DL/RF,18-28,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
17,UNREVIEWED,Elven Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=4",Axes,13,0,63,6,0,0,0,PERMANENT,25000,50,0,1,DW/FE/MG/SU,26-38,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
18,UNREVIEWED,Battle Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=5",Axes,13,0,63,6,0,0,0,PERMANENT,25000,50,0,1,DK/FE/MG,36-44,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
19,UNREVIEWED,Nikea Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=6",Axes,13,0,63,6,0,0,0,PERMANENT,25000,50,0,1,DK/FE/MG,38-50,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
20,UNREVIEWED,Larkan Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=7",Axes,13,0,63,6,0,0,0,PERMANENT,25000,50,0,1,DK/MG,54-67,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
21,UNREVIEWED,Crescent Axe,NOT_AVAILABLE_BLOCKED_NO_CLIENT_ASSET_ACCESS,"type=1,index=8",Axes,13,0,63,6,0,0,0,PERMANENT,25000,50,0,1,DK/MG,69-89,MAX_UPGRADE_+13; ALL_6_EXCELLENT_OPTIONS_INFERRED; MAX_ADDITIONAL_OPTION_INFERRED,RECOMMEND_REVIEW_UNCLASSIFIED,
